# Redshift, Select Output
2.52462316, Snipshot
2.52001419, Snipshot
2.52000000, Snapshot
2.51541977, Snipshot
2.51083995, Snipshot
2.50627449, Snipshot
2.50172345, Snipshot
2.49718674, Snipshot
2.49266427, Snipshot
2.48815592, Snipshot
2.48366171, Snipshot
2.47918148, Snipshot
2.47471522, Snipshot
2.47026282, Snipshot
2.46582421, Snipshot
2.46139938, Snipshot
2.45698817, Snipshot
2.45259061, Snipshot
2.44820655, Snipshot
2.44383595, Snipshot
2.43947877, Snipshot
2.43513491, Snipshot
2.43080431, Snipshot
2.42648691, Snipshot
2.42218265, Snipshot
2.41789147, Snipshot
2.41361331, Snipshot
2.40934803, Snipshot
2.40509567, Snipshot
2.40085613, Snipshot
2.39662934, Snipshot
2.39241521, Snipshot
2.38821374, Snipshot
2.38402481, Snipshot
2.37984842, Snipshot
2.37568445, Snipshot
2.37153288, Snipshot
2.36739362, Snipshot
2.36326663, Snipshot
2.35915184, Snipshot
2.35504920, Snipshot
2.35095862, Snipshot
2.34688010, Snipshot
2.34281356, Snipshot
2.33875893, Snipshot
2.33471620, Snipshot
2.33068522, Snipshot
2.32666600, Snipshot
2.32265848, Snipshot
2.31866263, Snipshot
2.31467827, Snipshot
2.31070551, Snipshot
2.30674422, Snipshot
2.30279436, Snipshot
2.29885585, Snipshot
2.29492865, Snipshot
2.29101266, Snipshot
2.28710795, Snipshot
2.28321440, Snipshot
2.28000000, Snapshot
2.27933192, Snipshot
2.27546048, Snipshot
2.27160008, Snipshot
2.26775059, Snipshot
2.26391202, Snipshot
2.26008434, Snipshot
2.25626740, Snipshot
2.25246125, Snipshot
2.24866578, Snipshot
2.24488093, Snipshot
2.24110675, Snipshot
2.23734307, Snipshot
2.23358994, Snipshot
2.22984723, Snipshot
2.22611497, Snipshot
2.22239305, Snipshot
2.21868147, Snipshot
2.21498015, Snipshot
2.21128903, Snipshot
2.20760815, Snipshot
2.20393735, Snipshot
2.20027664, Snipshot
2.19662600, Snipshot
2.19298534, Snipshot
2.18935465, Snipshot
2.18573385, Snipshot
2.18212291, Snipshot
2.17852184, Snipshot
2.17493048, Snipshot
2.17134891, Snipshot
2.16777703, Snipshot
2.16421476, Snipshot
2.16066212, Snipshot
2.15711907, Snipshot
2.15358548, Snipshot
2.15006142, Snipshot
2.14654680, Snipshot
2.14304156, Snipshot
2.13954567, Snipshot
2.13605912, Snipshot
2.13258183, Snipshot
2.12911381, Snipshot
2.12565492, Snipshot
2.12220525, Snipshot
2.11876468, Snipshot
2.11533316, Snipshot
2.11191070, Snipshot
2.10849724, Snipshot
2.10509272, Snipshot
2.10169716, Snipshot
2.09831048, Snipshot
2.09493263, Snipshot
2.09156359, Snipshot
2.08820332, Snipshot
2.08485178, Snipshot
2.08150894, Snipshot
2.07817479, Snipshot
2.07484924, Snipshot
2.07153225, Snipshot
2.06822386, Snipshot
2.06492395, Snipshot
2.06163256, Snipshot
2.06000000, Snapshot
2.05834959, Snipshot
2.05507503, Snipshot
2.05180882, Snipshot
2.04855096, Snipshot
2.04530144, Snipshot
2.04206015, Snipshot
2.03882711, Snipshot
2.03560228, Snipshot
2.03238562, Snipshot
2.02917707, Snipshot
2.02597664, Snipshot
2.02278425, Snipshot
2.01959990, Snipshot
2.01642357, Snipshot
2.01325522, Snipshot
2.01009476, Snipshot
2.00694223, Snipshot
2.00379755, Snipshot
2.00066071, Snipshot
1.99753173, Snipshot
1.99441047, Snipshot
1.99129696, Snipshot
1.98819116, Snipshot
1.98509303, Snipshot
1.98200258, Snipshot
1.97891971, Snipshot
1.97584449, Snipshot
1.97277675, Snipshot
1.96971659, Snipshot
1.96666391, Snipshot
1.96361869, Snipshot
1.96058091, Snipshot
1.95755052, Snipshot
1.95452754, Snipshot
1.95151189, Snipshot
1.94850358, Snipshot
1.94550253, Snipshot
1.94250875, Snipshot
1.93952220, Snipshot
1.93654285, Snipshot
1.93357067, Snipshot
1.93060567, Snipshot
1.92764777, Snipshot
1.92469698, Snipshot
1.92175321, Snipshot
1.91881651, Snipshot
1.91588679, Snipshot
1.91296408, Snipshot
1.91004832, Snipshot
1.90713944, Snipshot
1.90423750, Snipshot
1.90134243, Snipshot
1.89845419, Snipshot
1.89557279, Snipshot
1.89269817, Snipshot
1.88983033, Snipshot
1.88696923, Snipshot
1.88411480, Snipshot
1.88126712, Snipshot
1.87842606, Snipshot
1.87559166, Snipshot
1.87276388, Snipshot
1.86994267, Snipshot
1.86712802, Snipshot
1.86431990, Snipshot
1.86151830, Snipshot
1.86000000, Snapshot
1.85872319, Snipshot
1.85593456, Snipshot
1.85315234, Snipshot
1.85037652, Snipshot
1.84760714, Snipshot
1.84484407, Snipshot
1.84208738, Snipshot
1.83933698, Snipshot
1.83659289, Snipshot
1.83385509, Snipshot
1.83112352, Snipshot
1.82839816, Snipshot
1.82567900, Snipshot
1.82296603, Snipshot
1.82025921, Snipshot
1.81755854, Snipshot
1.81486393, Snipshot
1.81217544, Snipshot
1.80949302, Snipshot
1.80681661, Snipshot
1.80414624, Snipshot
1.80148186, Snipshot
1.79882346, Snipshot
1.79617099, Snipshot
1.79352447, Snipshot
1.79088386, Snipshot
1.78824913, Snipshot
1.78562025, Snipshot
1.78299726, Snipshot
1.78038005, Snipshot
1.77776865, Snipshot
1.77516304, Snipshot
1.77256318, Snipshot
1.76996904, Snipshot
1.76738064, Snipshot
1.76479795, Snipshot
1.76222090, Snipshot
1.75964954, Snipshot
1.75708379, Snipshot
1.75452367, Snipshot
1.75196914, Snipshot
1.74942016, Snipshot
1.74687676, Snipshot
1.74433890, Snipshot
1.74180655, Snipshot
1.73927967, Snipshot
1.73675830, Snipshot
1.73424238, Snipshot
1.73173188, Snipshot
1.72922681, Snipshot
1.72672712, Snipshot
1.72423282, Snipshot
1.72174389, Snipshot
1.71926029, Snipshot
1.71678200, Snipshot
1.71430905, Snipshot
1.71184136, Snipshot
1.70937892, Snipshot
1.70692176, Snipshot
1.70446980, Snipshot
1.70202306, Snipshot
1.69958151, Snipshot
1.69714517, Snipshot
1.69471395, Snipshot
1.69228787, Snipshot
1.68986692, Snipshot
1.68745108, Snipshot
1.68504030, Snipshot
1.68263462, Snipshot
1.68023396, Snipshot
1.68000000, Snapshot
1.67783833, Snipshot
1.67544775, Snipshot
1.67306212, Snipshot
1.67068151, Snipshot
1.66830584, Snipshot
1.66593513, Snipshot
1.66356936, Snipshot
1.66120848, Snipshot
1.65885251, Snipshot
1.65650141, Snipshot
1.65415517, Snipshot
1.65181379, Snipshot
1.64947722, Snipshot
1.64714546, Snipshot
1.64481853, Snipshot
1.64249634, Snipshot
1.64017894, Snipshot
1.63786629, Snipshot
1.63555834, Snipshot
1.63325514, Snipshot
1.63095661, Snipshot
1.62866280, Snipshot
1.62637363, Snipshot
1.62408913, Snipshot
1.62180926, Snipshot
1.61953401, Snipshot
1.61726338, Snipshot
1.61499731, Snipshot
1.61273585, Snipshot
1.61047893, Snipshot
1.60822655, Snipshot
1.60597870, Snipshot
1.60373539, Snipshot
1.60149655, Snipshot
1.59926222, Snipshot
1.59703235, Snipshot
1.59480692, Snipshot
1.59258594, Snipshot
1.59036941, Snipshot
1.58815725, Snipshot
1.58594952, Snipshot
1.58374616, Snipshot
1.58154715, Snipshot
1.57935252, Snipshot
1.57716222, Snipshot
1.57497624, Snipshot
1.57279459, Snipshot
1.57061723, Snipshot
1.56844415, Snipshot
1.56627533, Snipshot
1.56411077, Snipshot
1.56195046, Snipshot
1.55979437, Snipshot
1.55764249, Snipshot
1.55549484, Snipshot
1.55335134, Snipshot
1.55121204, Snipshot
1.54907687, Snipshot
1.54694588, Snipshot
1.54481900, Snipshot
1.54269626, Snipshot
1.54057759, Snipshot
1.53846307, Snipshot
1.53635259, Snipshot
1.53424619, Snipshot
1.53214383, Snipshot
1.53004553, Snipshot
1.52795126, Snipshot
1.52586098, Snipshot
1.52377474, Snipshot
1.52169246, Snipshot
1.51961418, Snipshot
1.51753984, Snipshot
1.51546947, Snipshot
1.51340304, Snipshot
1.51134053, Snipshot
1.51000000, Snapshot
1.50928194, Snipshot
1.50722727, Snipshot
1.50517646, Snipshot
1.50312956, Snipshot
1.50108652, Snipshot
1.49904733, Snipshot
1.49701198, Snipshot
1.49498046, Snipshot
1.49295275, Snipshot
1.49092885, Snipshot
1.48890877, Snipshot
1.48689244, Snipshot
1.48487989, Snipshot
1.48287110, Snipshot
1.48086608, Snipshot
1.47886477, Snipshot
1.47686719, Snipshot
1.47487333, Snipshot
1.47288315, Snipshot
1.47089669, Snipshot
1.46891391, Snipshot
1.46693476, Snipshot
1.46495932, Snipshot
1.46298748, Snipshot
1.46101930, Snipshot
1.45905472, Snipshot
1.45709378, Snipshot
1.45513642, Snipshot
1.45318266, Snipshot
1.45123247, Snipshot
1.44928587, Snipshot
1.44734280, Snipshot
1.44540329, Snipshot
1.44346729, Snipshot
1.44153485, Snipshot
1.43960593, Snipshot
1.43768049, Snipshot
1.43575855, Snipshot
1.43384009, Snipshot
1.43192511, Snipshot
1.43001359, Snipshot
1.42810551, Snipshot
1.42620089, Snipshot
1.42429970, Snipshot
1.42240191, Snipshot
1.42050754, Snipshot
1.41861658, Snipshot
1.41672900, Snipshot
1.41484481, Snipshot
1.41296395, Snipshot
1.41108648, Snipshot
1.40921237, Snipshot
1.40734158, Snipshot
1.40547414, Snipshot
1.40361000, Snipshot
1.40174918, Snipshot
1.39989167, Snipshot
1.39803745, Snipshot
1.39618651, Snipshot
1.39433881, Snipshot
1.39249440, Snipshot
1.39065324, Snipshot
1.38881532, Snipshot
1.38698063, Snipshot
1.38514917, Snipshot
1.38332093, Snipshot
1.38149588, Snipshot
1.37967403, Snipshot
1.37785536, Snipshot
1.37603988, Snipshot
1.37422755, Snipshot
1.37241838, Snipshot
1.37061238, Snipshot
1.36880952, Snipshot
1.36700977, Snipshot
1.36521315, Snipshot
1.36341964, Snipshot
1.36162924, Snipshot
1.36000000, Snapshot
1.35984195, Snipshot
1.35805772, Snipshot
1.35627659, Snipshot
1.35449850, Snipshot
1.35272347, Snipshot
1.35095151, Snipshot
1.34918259, Snipshot
1.34741670, Snipshot
1.34565385, Snipshot
1.34389399, Snipshot
1.34213715, Snipshot
1.34038331, Snipshot
1.33863245, Snipshot
1.33688459, Snipshot
1.33513969, Snipshot
1.33339775, Snipshot
1.33165880, Snipshot
1.32992275, Snipshot
1.32818967, Snipshot
1.32645951, Snipshot
1.32473226, Snipshot
1.32300796, Snipshot
1.32128655, Snipshot
1.31956802, Snipshot
1.31785240, Snipshot
1.31613966, Snipshot
1.31442978, Snipshot
1.31272278, Snipshot
1.31101864, Snipshot
1.30931736, Snipshot
1.30761890, Snipshot
1.30592328, Snipshot
1.30423049, Snipshot
1.30254053, Snipshot
1.30085336, Snipshot
1.29916902, Snipshot
1.29748745, Snipshot
1.29580866, Snipshot
1.29413267, Snipshot
1.29245946, Snipshot
1.29078898, Snipshot
1.28912128, Snipshot
1.28745632, Snipshot
1.28579409, Snipshot
1.28413462, Snipshot
1.28247788, Snipshot
1.28082384, Snipshot
1.27917251, Snipshot
1.27752390, Snipshot
1.27587796, Snipshot
1.27423472, Snipshot
1.27259418, Snipshot
1.27095631, Snipshot
1.26932108, Snipshot
1.26768854, Snipshot
1.26605864, Snipshot
1.26443140, Snipshot
1.26280676, Snipshot
1.26118477, Snipshot
1.25956544, Snipshot
1.25794867, Snipshot
1.25633455, Snipshot
1.25472303, Snipshot
1.25311407, Snipshot
1.25150773, Snipshot
1.24990397, Snipshot
1.24830277, Snipshot
1.24670414, Snipshot
1.24510810, Snipshot
1.24351458, Snipshot
